repo_name,build_tool,path,instruction_missed,instruction_covered,branch_missed,branch_covered,line_missed,line_covered,complexity_missed,complexity_covered,method_missed,method_covered
knowm/xchange,maven,"knowm_xchange/xchange-binance
",6620,1472,539,56,1205,341,732,111,436,99
quarkusio/quarkus-quickstarts,maven,"quarkusio_quarkus-quickstarts/hibernate-reactive-routes-quickstart
",215,0,14,0,48,0,31,0,24,0
openhab/openhab-addons,maven,"hab_openhab-addons/bundles/org.openhab.binding.doorbird
",11287,235,918,13,2161,54,1031,26,559,25
knowm/xchange,maven,"knowm_xchange/xchange-bitcointoyou
",1226,655,117,24,260,195,149,67,84,61
quarkusio/quarkus-quickstarts,maven,"quarkusio_quarkus-quickstarts/kafka-quickstart/processor
",37,0,0,0,10,0,5,0,5,0
cdk/cdk,maven,"k_cdk/base/reaction
",1271,13014,707,1665,262,2935,685,723,5,217
okta/okta-spring-boot,maven,"kta_okta-spring-boot/sdk
",70,360,7,23,17,93,12,42,5,34
knowm/xchange,maven,"knowm_xchange/xchange-bittrex
",8777,1102,1306,32,601,265,1137,124,477,115
apache/syncope,maven,"apache_syncope/common/idrepo/lib
",16958,2296,842,72,4183,602,1941,238,1490,232
alibaba/easyexcel,maven,"alibaba_easyexcel
",18221,24569,3988,2249,1792,5520,3383,2381,1008,1620
fabric8io/docker-maven-plugin,maven,"fabric8io_docker-maven-plugin/samples/helloworld
",7,0,0,0,3,0,2,0,2,0
knowm/xchange,maven,"knowm_xchange/xchange-btcturk
",2480,799,81,0,474,243,193,114,150,114
pgmdev/pgm,maven,"gmdev_pgm/util
",20065,1669,1887,199,4491,333,2182,150,1194,63
openhab/openhab-addons,maven,"hab_openhab-addons/bundles/org.openhab.binding.bluetooth.govee
",2089,232,191,7,506,33,214,6,115,4
okta/okta-spring-boot,maven,"kta_okta-spring-boot/oauth2
",710,1648,67,87,139,375,97,157,50,127
cdk/cdk,maven,"k_cdk/app/depict
",5435,5081,515,455,837,963,395,265,66,97
sonarsource/sonar-scanner-jenkins,maven,"arsource_sonar-scanner-jenkins/its/projects/abacus
",513,405,32,42,112,94,48,34,28,17
openhab/openhab-addons,maven,"hab_openhab-addons/bundles/org.openhab.binding.bluetooth
",3940,14698,441,152,900,2489,488,172,221,131
eclipse-ee4j/glassfish,maven,"ipse-ee4j_glassfish/appserver/tests/appserv-tests/devtests/web/ha/cluster-tests/simple-failover-modified-attribute
",730,0,70,0,138,0,57,0,22,0
pmd/pmd,maven,"md_pmd/pmd-fortran
",94,31,0,0,18,2,2,1,2,1
knowm/xchange,maven,"knowm_xchange/xchange-bitz
",1820,408,19,5,377,126,181,45,171,43
molgenis/systemsgenetics,maven,"molgenis_systemsgenetics/Genotype-IO
",15078,24357,1423,1867,2569,4729,1564,1512,551,840
undera/jmeter-plugins,maven,"undera_jmeter-plugins/tools/filterresults
",604,479,52,0,141,115,45,15,19,15
quarkusio/quarkus-quickstarts,maven,"quarkusio_quarkus-quickstarts/opentracing-quickstart
",33,0,0,0,10,0,6,0,6,0
apache/logging-log4j,maven,"apache_logging-log4j2/log4j-api
",13491,14001,1375,1208,2694,3398,1741,1384,856,967
knowm/xchange,maven,"knowm_xchange/xchange-coinone
",1862,219,36,0,505,64,186,20,168,20
openhab/openhab-addons,maven,"hab_openhab-addons/bundles/org.openhab.binding.revogi
",869,800,97,47,197,168,115,60,47,53
knowm/xchange,maven,"knowm_xchange/xchange-stream-bitfinex
",2005,1640,161,99,414,307,263,86,141,68
openhab/openhab-addons,maven,"hab_openhab-addons/bundles/org.openhab.binding.loxone
",5974,5222,627,442,1324,1094,573,450,172,306
openhab/openhab-addons,maven,"hab_openhab-addons/bundles/org.openhab.binding.nibeheatpump
",19620,36366,334,150,2161,3316,326,168,131,111
undera/jmeter-plugins,maven,"undera_jmeter-plugins/tools/table-server
",2629,2101,247,135,602,380,216,114,74,65
quarkusio/quarkus-quickstarts,maven,"quarkusio_quarkus-quickstarts/qute-quickstart
",72,0,0,0,14,0,7,0,7,0
maven-nar/nar-maven-plugin,maven,"maven-nar_nar-maven-plugin
",53040,13773,5917,769,11374,2487,4942,864,1801,624
openhab/openhab-addons,maven,"hab_openhab-addons/bundles/org.openhab.binding.sleepiq
",4058,1196,388,16,1004,429,383,233,184,230
dcm4che/dcm4che,maven,"m4che_dcm4che/dcm4che-core
",26056,23963,7408,2115,8334,4593,7306,1754,685,1029
microsoft/botbuilder-java,maven,"microsoft_botbuilder-java/libraries/bot-schema
",3969,3586,66,140,1516,1095,937,522,896,460
dropwizard/dropwizard,maven,"wizard_dropwizard/dropwizard-client
",161,2176,29,121,38,609,36,266,16,211
dcm4che/dcm4che,maven,"m4che_dcm4che/dcm4che-audit
",1647,1435,46,46,409,364,255,116,222,103
apache/incubator-shenyu,maven,"apache_incubator-shenyu/shenyu-common
",8720,4851,793,208,1805,877,1247,364,818,289
knowm/xchange,maven,"knowm_xchange/xchange-lgo
",1141,1285,50,41,275,343,113,130,83,113
pac4j/pac4j,maven,"ac4j_pac4j/pac4j-core
",4529,9515,421,842,1113,2257,749,923,442,598
git-commit-id/git-commit-id-maven-plugin,maven,"git-commit-id_git-commit-id-maven-plugin
",676,1211,111,125,178,311,121,108,46,65
hapifhir/hapi-fhir,maven,"hapifhir_hapi-fhir/hapi-fhir-structures-r4
",778,671,55,83,129,149,88,64,52,31
quarkusio/quarkus-quickstarts,maven,"quarkusio_quarkus-quickstarts/microprofile-graphql-quickstart
",458,0,0,0,105,0,41,0,41,0
