repo_name,last_commit_sha,pull_number,count_review_requests,count_all_reviews,count_all_review_comments,count_all_comments,count_changed_files,count_total_changed_lines
adobe/aem-core-wcm-components,08db14e7da66f2ed8f6de8226b38a7bc9af86c41,1704,1,4,3,2,4,22
adobe/aem-core-wcm-components,08db14e7da66f2ed8f6de8226b38a7bc9af86c41,1703,0,2,0,3,2,4
adobe/aem-core-wcm-components,08db14e7da66f2ed8f6de8226b38a7bc9af86c41,1701,0,2,0,2,7,88
adobe/aem-core-wcm-components,08db14e7da66f2ed8f6de8226b38a7bc9af86c41,1699,0,1,0,2,2,20
adobe/aem-core-wcm-components,08db14e7da66f2ed8f6de8226b38a7bc9af86c41,1698,0,3,0,2,4,8
adobe/aem-core-wcm-components,08db14e7da66f2ed8f6de8226b38a7bc9af86c41,1696,0,4,0,2,2,2
adobe/aem-core-wcm-components,08db14e7da66f2ed8f6de8226b38a7bc9af86c41,1695,0,0,0,2,3,58
adobe/aem-core-wcm-components,08db14e7da66f2ed8f6de8226b38a7bc9af86c41,1693,0,0,0,1,1,2
adobe/aem-core-wcm-components,08db14e7da66f2ed8f6de8226b38a7bc9af86c41,1692,0,1,0,3,2,50
adobe/aem-core-wcm-components,08db14e7da66f2ed8f6de8226b38a7bc9af86c41,1691,0,1,0,2,1,3
adobe/aem-core-wcm-components,08db14e7da66f2ed8f6de8226b38a7bc9af86c41,1689,0,1,0,2,5,32
adobe/aem-core-wcm-components,08db14e7da66f2ed8f6de8226b38a7bc9af86c41,1686,0,22,22,2,116,8424
adobe/aem-core-wcm-components,08db14e7da66f2ed8f6de8226b38a7bc9af86c41,1664,1,5,8,7,40,2087
adobe/aem-core-wcm-components,08db14e7da66f2ed8f6de8226b38a7bc9af86c41,1663,0,1,0,2,1,26
adobe/aem-core-wcm-components,08db14e7da66f2ed8f6de8226b38a7bc9af86c41,1656,0,2,0,2,12,245
adobe/aem-core-wcm-components,08db14e7da66f2ed8f6de8226b38a7bc9af86c41,1655,0,4,1,2,1,106
adobe/aem-core-wcm-components,08db14e7da66f2ed8f6de8226b38a7bc9af86c41,1651,1,1,0,4,2,94
adobe/aem-core-wcm-components,08db14e7da66f2ed8f6de8226b38a7bc9af86c41,1649,1,2,0,4,9,158
adoptopenjdk/icedtea-web,f6aad403b466d7713769be117f14e527008aa3af,814,1,0,0,0,3,57
adoptopenjdk/icedtea-web,f6aad403b466d7713769be117f14e527008aa3af,813,0,4,4,0,2,64
adoptopenjdk/icedtea-web,f6aad403b466d7713769be117f14e527008aa3af,810,0,4,6,0,4,119
adoptopenjdk/icedtea-web,f6aad403b466d7713769be117f14e527008aa3af,809,1,0,0,0,5,286
adoptopenjdk/icedtea-web,f6aad403b466d7713769be117f14e527008aa3af,808,0,0,0,0,3,25
adoptopenjdk/icedtea-web,f6aad403b466d7713769be117f14e527008aa3af,806,0,0,0,0,1,1
adoptopenjdk/icedtea-web,f6aad403b466d7713769be117f14e527008aa3af,805,1,1,0,0,3,101
adoptopenjdk/icedtea-web,f6aad403b466d7713769be117f14e527008aa3af,804,0,2,3,0,1,122
adoptopenjdk/icedtea-web,f6aad403b466d7713769be117f14e527008aa3af,803,0,7,7,1,2,64
adoptopenjdk/icedtea-web,f6aad403b466d7713769be117f14e527008aa3af,802,0,0,0,0,1,8
adoptopenjdk/icedtea-web,f6aad403b466d7713769be117f14e527008aa3af,800,1,0,0,0,1,3
adoptopenjdk/icedtea-web,f6aad403b466d7713769be117f14e527008aa3af,798,0,0,0,0,1,28
adoptopenjdk/icedtea-web,f6aad403b466d7713769be117f14e527008aa3af,797,1,0,0,0,5,131
adoptopenjdk/icedtea-web,f6aad403b466d7713769be117f14e527008aa3af,796,1,0,0,0,7,51
adoptopenjdk/icedtea-web,f6aad403b466d7713769be117f14e527008aa3af,794,0,0,0,0,1,2
adoptopenjdk/icedtea-web,f6aad403b466d7713769be117f14e527008aa3af,792,0,0,0,17,1,46
adoptopenjdk/icedtea-web,f6aad403b466d7713769be117f14e527008aa3af,785,0,0,0,0,1,2
adoptopenjdk/icedtea-web,f6aad403b466d7713769be117f14e527008aa3af,784,0,0,0,0,1,7
adoptopenjdk/icedtea-web,f6aad403b466d7713769be117f14e527008aa3af,783,0,0,0,2,1,23
adoptopenjdk/icedtea-web,f6aad403b466d7713769be117f14e527008aa3af,781,0,1,0,0,1,26
adorsys/keycloak-config-cli,4eaa9258556f938cc9db6fe4b8c97fbece2698ca,487,0,0,0,1,6,2173
adorsys/keycloak-config-cli,4eaa9258556f938cc9db6fe4b8c97fbece2698ca,485,0,0,0,3,5,25
adorsys/keycloak-config-cli,4eaa9258556f938cc9db6fe4b8c97fbece2698ca,484,0,1,0,1,1,2
adorsys/keycloak-config-cli,4eaa9258556f938cc9db6fe4b8c97fbece2698ca,483,0,1,0,1,1,2
adorsys/keycloak-config-cli,4eaa9258556f938cc9db6fe4b8c97fbece2698ca,482,0,1,0,1,1,2
adorsys/keycloak-config-cli,4eaa9258556f938cc9db6fe4b8c97fbece2698ca,481,0,1,0,1,1,2
adorsys/keycloak-config-cli,4eaa9258556f938cc9db6fe4b8c97fbece2698ca,480,0,1,0,1,1,2
adorsys/keycloak-config-cli,4eaa9258556f938cc9db6fe4b8c97fbece2698ca,479,0,1,0,1,1,2
adorsys/keycloak-config-cli,4eaa9258556f938cc9db6fe4b8c97fbece2698ca,477,0,1,0,1,1,2
adorsys/keycloak-config-cli,4eaa9258556f938cc9db6fe4b8c97fbece2698ca,476,0,0,0,9,10,165
adorsys/keycloak-config-cli,4eaa9258556f938cc9db6fe4b8c97fbece2698ca,475,0,0,0,1,3,48
adorsys/keycloak-config-cli,4eaa9258556f938cc9db6fe4b8c97fbece2698ca,474,0,1,0,0,1,2
adorsys/keycloak-config-cli,4eaa9258556f938cc9db6fe4b8c97fbece2698ca,473,0,1,0,1,1,2
adorsys/keycloak-config-cli,4eaa9258556f938cc9db6fe4b8c97fbece2698ca,471,0,1,0,1,1,2
adorsys/keycloak-config-cli,4eaa9258556f938cc9db6fe4b8c97fbece2698ca,470,0,1,0,1,1,2
adorsys/keycloak-config-cli,4eaa9258556f938cc9db6fe4b8c97fbece2698ca,469,0,0,0,1,2,3
adorsys/keycloak-config-cli,4eaa9258556f938cc9db6fe4b8c97fbece2698ca,468,0,0,0,1,1,2
adorsys/keycloak-config-cli,4eaa9258556f938cc9db6fe4b8c97fbece2698ca,466,0,1,0,2,1,2
adorsys/keycloak-config-cli,4eaa9258556f938cc9db6fe4b8c97fbece2698ca,465,0,1,0,2,1,2
adorsys/keycloak-config-cli,4eaa9258556f938cc9db6fe4b8c97fbece2698ca,463,0,0,0,2,2,9
agricraft/agricraft,95616bcb9769c39dc6a5cacc44b5f45d13bdd7e2,1380,0,5,21,3,25,1561
agricraft/agricraft,95616bcb9769c39dc6a5cacc44b5f45d13bdd7e2,1375,0,0,0,0,25,468
agricraft/agricraft,95616bcb9769c39dc6a5cacc44b5f45d13bdd7e2,1372,0,1,1,0,91,936
agricraft/agricraft,95616bcb9769c39dc6a5cacc44b5f45d13bdd7e2,1366,0,0,0,3,1,613
agricraft/agricraft,95616bcb9769c39dc6a5cacc44b5f45d13bdd7e2,1363,0,0,0,0,44,283
agricraft/agricraft,95616bcb9769c39dc6a5cacc44b5f45d13bdd7e2,1348,0,0,0,0,2,6
agricraft/agricraft,95616bcb9769c39dc6a5cacc44b5f45d13bdd7e2,1332,0,0,0,0,50,375
